"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"63761000","2025-01-15T01:19:04.000","2025-01-15T01:19:04.000","DOT","Department of Transportation","Street Condition","Pothole",,"10466","GUNTHER AVENUE","GUNTHER AVENUE","BARNES AVENUE","PITMAN AVENUE",,,"BLOCKFACE","BRONX",,"N/A","Closed",,"The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.","2025-01-15T01:19:04.000","12 BRONX",,"BRONX",,,"UNKNOWN","Unspecified","BRONX",,,,,,,,,,
"63766598","2025-01-15T01:05:57.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"10466","GUNTHER AVENUE","GUNTHER AVENUE","BARNES AVENUE","PITMAN AVENUE",,,"BLOCKFACE","BRONX",,"N/A","Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2025-01-15T01:05:57.000","12 BRONX",,"BRONX",,,"UNKNOWN","Unspecified","BRONX",,,,,,,,,,
"63768945","2025-01-15T00:59:00.000",,"DOT","Department of Transportation","Traffic Signal Condition","Controller",,"11413",,,,,"SPRINGFIELD BOULEVARD","144 AVENUE","INTERSECTION","QUEENS",,"N/A","Open",,,,"12 QUEENS",,"QUEENS","1051575","182390","UNKNOWN","Unspecified","QUEENS",,,,,,,,"40.66703917169033","-73.75731529191802","
,  
(40.66703917169033, -73.75731529191802)"
"63761399","2025-01-15T00:51:09.000",,"DOT","Department of Transportation","Sidewalk Condition","Blocked - Construction","Sidewalk","10452","950 WOODYCREST AVENUE","WOODYCREST AVENUE","WEST  162 STREET","WEST  163 STREET","WEST  162 STREET","WEST  163 STREET","ADDRESS","BRONX","WOODYCREST AVENUE",,"In Progress",,,,"04 BRONX","2025070001","BRONX","1003911","242179","PHONE","Unspecified","BRONX",,,,,,,,"40.831378946066906","-73.9289535299807","
,  
(40.831378946066906, -73.9289535299807)"
"63760122","2025-01-15T00:50:34.000",,"NYPD","New York City Police Department","Illegal Parking","Double Parked Blocking Traffic","Street/Sidewalk","10473","529 UNDERHILL AVENUE","UNDERHILL AVENUE","LACOMBE AVENUE","RANDALL AVENUE","LACOMBE AVENUE","RANDALL AVENUE","ADDRESS","BRONX","UNDERHILL AVENUE",,"In Progress",,,,"09 BRONX","2035250066","BRONX","1023310","236651","MOBILE","Unspecified","BRONX","Car",,,,,,,"40.81614168462493","-73.85888608727092","
,  
(40.81614168462493, -73.85888608727092)"
"63760061","2025-01-15T00:50:24.000",,"DOHMH","Department of Health and Mental Hygiene","Rodent","Condition Attracting Rodents","3+ Family Apt. Building","11230","855 EAST   19 STREET","EAST   19 STREET","AVENUE H","DEAD END","AVENUE H","DEAD END","ADDRESS","BROOKLYN","EAST   19 STREET",,"In Progress",,,,"14 BROOKLYN","3067030035","BROOKLYN","995795","168783","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.629939362412614","-73.95840721933905","
,  
(40.629939362412614, -73.95840721933905)"
"63761516","2025-01-15T00:49:30.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10027","ADAM CLAYTON POWELL BOULEVARD","ADAM CLAYTON POWELL BOULEVARD","ADAM CLAYTON POWELL BOULEVARD","WEST  131 STREET","ADAM CLAYTON POWELL BOULEVARD","WEST  131 STREET","INTERSECTION",,,,"In Progress",,,,"10 MANHATTAN",,"MANHATTAN","999317","235389","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.81275135243847","-73.9455695281346","
,  
(40.81275135243847, -73.9455695281346)"
"63762704","2025-01-15T00:48:33.000",,"NYPD","New York City Police Department","Illegal Parking","Commercial Overnight Parking","Street/Sidewalk","11234","4616 KINGS HIGHWAY","KINGS HIGHWAY","EAST   46 STREET","SCHENECTADY AVENUE","EAST   46 STREET","SCHENECTADY AVENUE","ADDRESS","BROOKLYN","KINGS HIGHWAY",,"In Progress",,,"2025-01-15T02:07:33.000","18 BROOKLYN","3077500071","BROOKLYN","1003190","169119","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.630848886788414","-73.93176456892192","
,  
(40.630848886788414, -73.93176456892192)"
"63765492","2025-01-15T00:48:03.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","11226","95 LINDEN BOULEVARD","LINDEN BOULEVARD","BEDFORD AVENUE","ROGERS AVENUE","BEDFORD AVENUE","ROGERS AVENUE","ADDRESS","BROOKLYN","LINDEN BOULEVARD",,"In Progress",,,"2025-01-15T01:26:31.000","17 BROOKLYN","3050840097","BROOKLYN","996734","176957","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.652373963316116","-73.95500919151641","
,  
(40.652373963316116, -73.95500919151641)"
"63765495","2025-01-15T00:46:33.000",,"NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant","Street/Sidewalk","10460","1903 WEST FARMS ROAD","WEST FARMS ROAD","CROSS BRONX EXPRESSWAY","RODMAN PLACE","CROSS BRONX EXPRESSWAY","RODMAN PLACE","ADDRESS","BRONX","WEST FARMS ROAD",,"In Progress",,,"2025-01-15T01:40:10.000","06 BRONX","2030167501","BRONX","1017088","244768","MOBILE","Unspecified","BRONX",,,,,,,,"40.838445833501204","-73.88132484286533","
,  
(40.838445833501204, -73.88132484286533)"
"63760162","2025-01-15T00:45:56.000",,"NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11421","85-45 96 STREET","96 STREET","85 ROAD","86 AVENUE","85 ROAD","86 AVENUE","ADDRESS","WOODHAVEN","96 STREET",,"In Progress",,,,"09 QUEENS","4088920094","QUEENS","1025976","193006","ONLINE","Unspecified","QUEENS",,,,,,,,"40.69633528859712","-73.84952538092021","
,  
(40.69633528859712, -73.84952538092021)"
"63765426","2025-01-15T00:44:32.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11226","590 OCEAN AVENUE","OCEAN AVENUE","TENNIS COURT","ALBEMARLE ROAD","TENNIS COURT","ALBEMARLE ROAD","ADDRESS","BROOKLYN","OCEAN AVENUE",,"In Progress",,,"2025-01-15T01:23:33.000","14 BROOKLYN","3051000056","BROOKLYN","995159","175479","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.64831925505935","-73.96068768845188","
,  
(40.64831925505935, -73.96068768845188)"
"63762667","2025-01-15T00:44:06.000",,"DSNY","Department of Sanitation","Dirty Condition","Trash","Street","11230","855 EAST   19 STREET","EAST   19 STREET","AVENUE H","DEAD END","AVENUE H","DEAD END","ADDRESS","BROOKLYN","EAST   19 STREET",,"In Progress",,,,"14 BROOKLYN","3067030035","BROOKLYN","995795","168783","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.629939362412614","-73.95840721933905","
,  
(40.629939362412614, -73.95840721933905)"
"63760532","2025-01-15T00:44:05.000",,"NYPD","New York City Police Department","Blocked Driveway","Partial Access","Street/Sidewalk","11233","2077 DEAN STREET","DEAN STREET","HOWARD AVENUE","SARATOGA AVENUE","HOWARD AVENUE","SARATOGA AVENUE","ADDRESS","BROOKLYN","DEAN STREET",,"In Progress",,,"2025-01-15T02:47:15.000","16 BROOKLYN","3014390072","BROOKLYN","1006824","185273","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.67517955900584","-73.91861823902471","
,  
(40.67517955900584, -73.91861823902471)"
